Analog output scaling is 0.1 Volts/unit of measurement.
[ 1:55:13.543 PM] Pressure: -80.69,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:41.506
[ 1:55:13.644 PM] Pressure: -80.69,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:41.614
[ 1:55:13.759 PM] Pressure: -80.75,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:41.722
[ 1:55:13.862 PM] Pressure: -80.75,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:41.830
[ 1:55:13.976 PM] Pressure: -80.75,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:41.938
[ 1:55:14.077 PM] Pressure: -80.81,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:42.045
[ 1:55:14.201 PM] Pressure: -80.81,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:42.154
[ 1:55:14.292 PM] Pressure: -80.86,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:42.262
[ 1:55:14.417 PM] Pressure: -80.86,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:42.370
[ 1:55:14.529 PM] Pressure: -80.86,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:42.479
[ 1:55:14.631 PM] Pressure: -80.92,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:42.587
[ 1:55:14.754 PM] Pressure: -80.92,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:42.695
[ 1:55:14.846 PM] Pressure: -80.86,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:42.804
[ 1:55:14.970 PM] Pressure: -80.86,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:42.912
[ 1:55:15.062 PM] Pressure: -80.86,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:43.019
[ 1:55:15.184 PM] Pressure: -80.86,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:43.127
[ 1:55:15.286 PM] Pressure: -80.86,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:43.236
[ 1:55:15.399 PM] Pressure: -80.86,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:43.344
[ 1:55:15.501 PM] Pressure: -80.86,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:43.452
[ 1:55:15.613 PM] Pressure: -80.81,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:43.560
[ 1:55:15.716 PM] Pressure: -80.81,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:43.668
[ 1:55:15.829 PM] Pressure: -80.81,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:43.777
[ 1:55:15.930 PM] Pressure: -80.75,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:43.885
[ 1:55:16.044 PM] Pressure: -80.75,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:43.993
[ 1:55:16.147 PM] Pressure: -80.75,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:44.100
[ 1:55:16.269 PM] Pressure: -80.81,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:44.208
[ 1:55:16.361 PM] Pressure: -80.81,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:44.317
[ 1:55:16.486 PM] Pressure: -80.81,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:44.425
[ 1:55:16.577 PM] Pressure: -80.81,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:44.533
[ 1:55:16.698 PM] Pressure: -80.81,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:44.641
[ 1:55:16.801 PM] Pressure: -80.81,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:44.750
[ 1:55:16.914 PM] Pressure: -80.81,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:44.858
[ 1:55:17.016 PM] Pressure: -80.81,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:44.966
[ 1:55:17.139 PM] Pressure: -80.86,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:45.073
[ 1:55:17.232 PM] Pressure: -80.86,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:45.182
[ 1:55:17.358 PM] Pressure: -80.86,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:45.290
[ 1:55:17.448 PM] Pressure: -80.81,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:45.398
[ 1:55:17.572 PM] Pressure: -80.86,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:45.506
[ 1:55:17.674 PM] Pressure: -80.81,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:45.614
[ 1:55:17.788 PM] Pressure: -80.86,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:45.722
[ 1:55:17.890 PM] Pressure: -80.86,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:45.831
[ 1:55:18.003 PM] Pressure: -80.92,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:45.939
[ 1:55:18.105 PM] Pressure: -80.98,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:46.046
[ 1:55:18.229 PM] Pressure: -80.98,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:46.154
[ 1:55:18.321 PM] Pressure: -80.98,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:46.262
[ 1:55:18.446 PM] Pressure: -80.98,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:46.370
[ 1:55:18.538 PM] Pressure: -81.04,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:46.478
[ 1:55:18.660 PM] Pressure: -80.98,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:46.587
[ 1:55:18.752 PM] Pressure: -81.04,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:46.695
[ 1:55:18.877 PM] Pressure: -81.04,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:46.803
[ 1:55:18.968 PM] Pressure: -81.04,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:46.911
[ 1:55:19.093 PM] Pressure: -80.98,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:47.018
[ 1:55:19.194 PM] Pressure: -80.98,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:47.127
[ 1:55:19.308 PM] Pressure: -80.98,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:47.235
[ 1:55:19.410 PM] Pressure: -80.98,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:47.343
[ 1:55:19.524 PM] Pressure: -80.98,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:47.451
[ 1:55:19.626 PM] Pressure: -80.92,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:47.559
[ 1:55:19.750 PM] Pressure: -80.98,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:47.667
[ 1:55:19.842 PM] Pressure: -80.98,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:47.775
[ 1:55:19.966 PM] Pressure: -81.10,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:47.883
[ 1:55:20.058 PM] Pressure: -81.04,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:47.992
[ 1:55:20.182 PM] Pressure: -81.04,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:48.099
[ 1:55:20.273 PM] Pressure: -81.04,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:48.207
[ 1:55:20.397 PM] Pressure: -80.98,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:48.315
[ 1:55:20.498 PM] Pressure: -80.92,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:48.423
[ 1:55:20.612 PM] Pressure: -80.92,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:48.531
[ 1:55:20.714 PM] Pressure: -80.86,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:48.640
[ 1:55:20.837 PM] Pressure: -80.86,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:48.748
[ 1:55:20.928 PM] Pressure: -80.86,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:48.856
[ 1:55:21.050 PM] Pressure: -80.81,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:48.964
[ 1:55:21.153 PM] Pressure: -80.81,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:49.071
[ 1:55:21.265 PM] Pressure: -80.75,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:49.179
[ 1:55:21.366 PM] Pressure: -80.75,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:49.288
[ 1:55:21.490 PM] Pressure: -80.69,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:49.396
[ 1:55:21.581 PM] Pressure: -80.69,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:49.504
[ 1:55:21.705 PM] Pressure: -80.69,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:49.612
[ 1:55:21.807 PM] Pressure: -80.69,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:49.720
[ 1:55:21.919 PM] Pressure: -80.75,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:49.828
[ 1:55:22.021 PM] Pressure: -80.75,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:49.936
[ 1:55:22.133 PM] Pressure: -80.75,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:50.043
[ 1:55:22.237 PM] Pressure: -80.69,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:50.151
[ 1:55:22.361 PM] Pressure: -80.75,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:50.260
[ 1:55:22.473 PM] Pressure: -80.75,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:50.377
[ 1:55:22.576 PM] Pressure: -80.69,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:50.486
[ 1:55:22.678 PM] Pressure: -80.69,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:50.594
[ 1:55:22.794 PM] Pressure: -80.69,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:50.702
[ 1:55:22.907 PM] Pressure: -80.69,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:50.811
[ 1:55:23.010 PM] Pressure: -80.69,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:50.919
[ 1:55:23.131 PM] Pressure: -80.63,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:51.026
[ 1:55:23.223 PM] Pressure: -80.69,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:51.134
[ 1:55:23.348 PM] Pressure: -80.69,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:51.242
[ 1:55:23.439 PM] Pressure: -80.75,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:51.351
[ 1:55:23.563 PM] Pressure: -80.81,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:51.459
[ 1:55:23.655 PM] Pressure: -80.81,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:51.567
[ 1:55:23.781 PM] Pressure: -80.86,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:51.675
[ 1:55:23.872 PM] Pressure: -80.81,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:51.783
[ 1:55:23.996 PM] Pressure: -80.81,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:51.891
[ 1:55:24.088 PM] Pressure: -80.81,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:51.999
[ 1:55:24.212 PM] Pressure: -80.86,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:52.107
[ 1:55:24.313 PM] Pressure: -80.86,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:52.215
[ 1:55:24.427 PM] Pressure: -80.86,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:52.323
