Analog output scaling is 0.1 Volts/unit of measurement.
[ 8:36:51.016 AM] Pressure: -106.84,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:11.711
[ 8:36:51.139 AM] Pressure: -107.01,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:11.818
[ 8:36:51.242 AM] Pressure: -107.01,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:11.926
[ 8:36:51.363 AM] Pressure: -107.07,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:12.033
[ 8:36:51.455 AM] Pressure: -107.07,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:12.141
[ 8:36:51.578 AM] Pressure: -107.07,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:12.249
[ 8:36:51.680 AM] Pressure: -107.13,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:12.357
[ 8:36:51.781 AM] Pressure: -107.13,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:12.465
[ 8:36:51.893 AM] Pressure: -107.13,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:12.572
[ 8:36:51.996 AM] Pressure: -107.07,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:12.680
[ 8:36:52.120 AM] Pressure: -107.13,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:12.788
[ 8:36:52.222 AM] Pressure: -107.07,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:12.896
[ 8:36:52.322 AM] Pressure: -107.19,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:13.002
[ 8:36:52.434 AM] Pressure: -107.07,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:13.110
[ 8:36:52.537 AM] Pressure: -107.01,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:13.218
[ 8:36:52.661 AM] Pressure: -106.95,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:13.326
[ 8:36:52.752 AM] Pressure: -106.89,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:13.434
[ 8:36:52.876 AM] Pressure: -106.84,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:13.542
[ 8:36:52.977 AM] Pressure: -106.78,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:13.649
[ 8:36:53.091 AM] Pressure: -106.72,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:13.757
[ 8:36:53.191 AM] Pressure: -106.72,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:13.865
[ 8:36:53.295 AM] Pressure: -106.72,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:13.973
[ 8:36:53.419 AM] Pressure: -106.78,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:14.080
[ 8:36:53.510 AM] Pressure: -106.84,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:14.188
[ 8:36:53.634 AM] Pressure: -106.84,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:14.296
[ 8:36:53.727 AM] Pressure: -106.84,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:14.403
[ 8:36:53.852 AM] Pressure: -106.84,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:14.511
[ 8:36:53.953 AM] Pressure: -106.84,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:14.619
[ 8:36:54.056 AM] Pressure: -106.84,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:14.727
[ 8:36:54.167 AM] Pressure: -106.78,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:14.835
[ 8:36:54.269 AM] Pressure: -106.78,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:14.943
[ 8:36:54.393 AM] Pressure: -106.72,  Volume: 1.59, Battery: 0.55, Timestamp: 00:14:15.059
[ 8:36:54.506 AM] Pressure: -106.78,  Volume: 1.59, Battery: 0.55, Timestamp: 00:14:15.168
[ 8:36:54.609 AM] Pressure: -106.72,  Volume: 1.59, Battery: 0.55, Timestamp: 00:14:15.276
